Model,Actual_PM2.5,Predicted_PM2.5,RMSE,MAE,R²
Gradient Boosting,16.5,15.61948157,,,
Gradient Boosting,42.735,39.74053647,,,
Gradient Boosting,12.3,12.99742356,,,
Gradient Boosting,10.019,11.24157341,,,
Gradient Boosting,13.69,12.83517382,,,
Gradient Boosting,4.5,6.494725359,,,
Gradient Boosting,8.8,9.78384014,,,
Gradient Boosting,31.82,28.56309242,,,
Gradient Boosting,46.435,49.82700908,,,
Gradient Boosting,14.043,13.12353403,,,
Gradient Boosting,16.5,14.53246766,,,
Gradient Boosting,17.575,17.75401987,,,
Gradient Boosting,4.4,5.363748891,,,
Gradient Boosting,5.8,5.71786226,,,
Gradient Boosting,6.6,8.467766362,,,
Gradient Boosting,6.475,6.096763484,,,
Gradient Boosting,9.805,8.63130073,,,
Gradient Boosting,5.2,4.65805901,,,
Gradient Boosting,14.43,12.4422455,,,
Gradient Boosting,7.7,8.235060582,,,
Gradient Boosting,10.175,10.36154921,,,
Gradient Boosting,625.7,579.5978786,,,
Gradient Boosting,11.47,13.22717613,,,
Gradient Boosting,19.7,20.13381484,,,
Gradient Boosting,2.405,1.706684845,,,
Gradient Boosting,148.6,158.592659,,,
Gradient Boosting,25.345,32.61375667,,,
Gradient Boosting,15.355,19.08787626,,,
Gradient Boosting,10.9,8.533605452,,,
Gradient Boosting,31.265,31.13842697,,,
Gradient Boosting,32.93,33.77134287,,,
Gradient Boosting,29.415,36.82729776,,,
Gradient Boosting,20.72,21.65893851,,,
Gradient Boosting,3.8,2.553399503,,,
Gradient Boosting,12.21,11.60939627,,,
Gradient Boosting,79.55,66.31443376,,,
Gradient Boosting,25.345,29.50967298,,,
Gradient Boosting,21.275,20.40115164,,,
Gradient Boosting,5,4.06277892,,,
Gradient Boosting,6.1,5.417412995,,,
Gradient Boosting,22.94,26.1037962,,,
Gradient Boosting,24.2,21.5382723,,,
Gradient Boosting,48.285,54.26445765,,,
Gradient Boosting,4.4,5.53411266,,,
Gradient Boosting,38.665,45.28068719,,,
Gradient Boosting,14.3,16.60286476,,,
Gradient Boosting,2.5,3.165767932,,,
Gradient Boosting,57.4,46.97817658,,,
Gradient Boosting,47.8,47.43502649,,,
Gradient Boosting,9.25,10.86081393,,,
Gradient Boosting,19.425,17.42408047,,,
Gradient Boosting,15.17,17.75917297,,,
Gradient Boosting,2.7,2.563158124,,,
Gradient Boosting,120.62,125.7332354,,,
Gradient Boosting,1.3,2.215311507,,,
Gradient Boosting,6.105,6.129855998,,,
Gradient Boosting,11.1,8.106533619,,,
Gradient Boosting,52.54,52.47675448,,,
Gradient Boosting,7.77,19.01670535,,,
Gradient Boosting,21.645,20.24133733,,,
Gradient Boosting,57.9,56.3745597,,,
Gradient Boosting,33.485,32.26210498,,,
Gradient Boosting,0.6,1.454812286,,,
Gradient Boosting,2.203,2.191402364,,,
Gradient Boosting,5.55,8.769114582,,,
Gradient Boosting,26.6,26.5934157,,,
Gradient Boosting,9.25,10.78248477,,,
Gradient Boosting,26.27,23.97254035,,,
Gradient Boosting,5.18,6.24164888,,,
Gradient Boosting,0.9,0.4452503284,,,
Gradient Boosting,8.325,7.273547254,,,
Gradient Boosting,7.4,12.26692482,,,
Gradient Boosting,5.92,4.788009167,,,
Gradient Boosting,29.785,31.13496151,,,
Gradient Boosting,76.96,86.75648554,,,
Gradient Boosting,12.4,10.29673758,,,
Gradient Boosting,4.1,4.764803874,,,
Gradient Boosting,15.91,15.37598218,,,
Gradient Boosting,8.325,8.209294379,,,
Gradient Boosting,5.92,4.863603578,,,
Gradient Boosting,19.2,15.97355443,,,
Gradient Boosting,4.625,5.006184021,,,
Gradient Boosting,5.92,5.730198022,,,
Gradient Boosting,55.315,52.95107937,,,
Gradient Boosting,6,6.278437458,,,
Gradient Boosting,18.685,19.63196616,,,
Gradient Boosting,20.35,23.76977034,,,
Gradient Boosting,47.915,48.52121483,,,
Gradient Boosting,24.235,23.93194964,,,
Gradient Boosting,14.245,16.64797872,,,
Gradient Boosting,10.915,10.66480421,,,
Gradient Boosting,4.625,5.781984472,,,
Gradient Boosting,7.2,12.11374234,,,
Gradient Boosting,10.36,10.99778549,,,
Gradient Boosting,10.36,10.53993254,,,
Gradient Boosting,1.9,1.854637349,,,
Gradient Boosting,47.4,45.72442236,,,
Gradient Boosting,26,25.38948475,,,
Gradient Boosting,63.8,72.37755636,,,
Gradient Boosting,6.845,6.478941986,,,
Gradient Boosting,1.6,1.389089921,,,
Gradient Boosting,8.331,8.580197406,,,
Gradient Boosting,2.7,2.169414923,,,
Gradient Boosting,13.135,11.61578882,,,
Gradient Boosting,42.55,47.11575874,,,
Gradient Boosting,14.8,15.94502155,,,
Gradient Boosting,1.1,0.6868007813,,,
Gradient Boosting,46.99,25.13767887,,,
Gradient Boosting,11.84,11.73828164,,,
Gradient Boosting,4.625,5.990505137,,,
Gradient Boosting,1.2,1.125259017,,,
Gradient Boosting,11.84,11.70111861,,,
Gradient Boosting,9.5,9.184489002,,,
Gradient Boosting,101.7,87.93840914,,,
Gradient Boosting,124.875,133.947451,,,
Gradient Boosting,24.6,24.76827205,,,
Gradient Boosting,3,2.79551578,,,
Gradient Boosting,5.4,4.970727901,,,
Gradient Boosting,4.3,4.665194194,,,
Gradient Boosting,20.7,20.87668728,,,
Gradient Boosting,9.065,8.543036996,,,
Gradient Boosting,7.585,9.392985481,,,
Gradient Boosting,59.385,60.17569715,,,
Gradient Boosting,11.6,10.5398962,,,
Gradient Boosting,36.445,33.26948258,,,
Gradient Boosting,4.3,6.25117652,,,
Gradient Boosting,2,2.859641537,,,
Gradient Boosting,24.05,19.2975556,,,
Gradient Boosting,8.4,6.544314576,,,
Gradient Boosting,150.405,179.3900831,,,
Gradient Boosting,1.5,1.073208785,,,
Gradient Boosting,8.325,7.978970377,,,
Gradient Boosting,29.415,33.33676744,,,
Gradient Boosting,6.15,6.18886674,,,
Gradient Boosting,1,1.551233048,,,
Gradient Boosting,57.905,60.32502851,,,
Gradient Boosting,10,13.56367446,,,
Gradient Boosting,37.925,26.32804066,,,
Gradient Boosting,2.4,4.432827272,,,
Gradient Boosting,87.8,82.33322952,,,
Gradient Boosting,6,10.1573174,,,
Gradient Boosting,8.8,10.89752726,,,
Gradient Boosting,916.4,921.7755354,,,
Gradient Boosting,22.015,19.72377983,,,
Gradient Boosting,126.725,147.8743915,,,
Gradient Boosting,7.77,11.14134304,,,
Gradient Boosting,17.02,14.07196136,,,
Gradient Boosting,4.255,5.725370163,,,
Gradient Boosting,16.2,15.52753127,,,
Gradient Boosting,17.575,16.43928583,,,
Gradient Boosting,5.365,6.456318949,,,
Gradient Boosting,88.985,83.78356274,,,
Gradient Boosting,22.385,17.67122431,,,
Gradient Boosting,3.9,4.798729336,,,
Gradient Boosting,183.15,206.2697215,,,
Gradient Boosting,7.4,6.836178689,,,
Gradient Boosting,20,17.53575618,,,
Gradient Boosting,3.1,2.275867824,,,
Gradient Boosting,13.875,13.49668283,,,
Gradient Boosting,9.5,10.54901675,,,
Gradient Boosting,8.14,8.139262605,,,
Gradient Boosting,75.11,78.44642232,,,
Gradient Boosting,18.685,18.53882194,,,
Gradient Boosting,1.3,1.540984083,,,
Gradient Boosting,69.19,70.13935257,,,
Gradient Boosting,149.85,111.2190233,,,
Gradient Boosting,5.9,4.720462025,,,
Gradient Boosting,4.5,3.898609065,,,
Gradient Boosting,17.205,17.68839787,,,
Gradient Boosting,13.9,14.2086668,,,
Gradient Boosting,8.88,8.748480528,,,
Gradient Boosting,33.3,30.12138272,,,
Gradient Boosting,3.515,4.911007444,,,
Gradient Boosting,0.9,1.850804559,,,
Gradient Boosting,11.285,10.19796548,,,
Gradient Boosting,11.47,11.73365619,,,
Gradient Boosting,10.36,9.093085747,,,
Gradient Boosting,4.44,4.152474523,,,
